"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
601,"BMBL","Bumble Inc.","Technology","Software - Application","USA",5711.47,7.49,28.17,-2.53%,1120977
602,"BMEZ","BlackRock Health Sciences Trust II","Financial","Closed-End Fund - Equity","USA",2204.95,,19.57,0.31%,292018
603,"BMI","Badger Meter, Inc.","Industrials","Electrical Equipment & Parts","USA",2846.15,48.04,99.69,0.83%,83014
604,"BMO","Bank of Montreal","Financial","Banks - Diversified","Canada",76673.95,11.66,119.76,0.82%,635238
605,"BMRN","BioMarin Pharmaceutical Inc.","Healthcare","Biotechnology","USA",14294.72,,79.02,-2.30%,628372
606,"BMTX","BM Technologies, Inc.","Technology","Software - Application","USA",111.15,,8.69,-0.23%,27509
607,"BMY","Bristol-Myers Squibb Company","Healthcare","Drug Manufacturers - General","USA",158605.03,23.50,73.28,1.20%,12153092
608,"BND","Vanguard Total Bond Market Index Fund ETF Shares","Financial","Exchange Traded Fund","USA",,,78.72,-0.88%,21372632
609,"BNDD","Quadratic Deflation ETF","Financial","Exchange Traded Fund","USA",,,25.12,-0.24%,155588
610,"BNDW","Vanguard Total World Bond ETF","Financial","Exchange Traded Fund","USA",,,73.61,-0.63%,92541
611,"BNDX","Vanguard Total International Bond Index Fund ETF Shares","Financial","Exchange Traded Fund","USA",,,52.23,-0.38%,2123082
612,"BNFT","Benefitfocus, Inc.","Technology","Software - Application","USA",413.38,,12.63,0.72%,123221
613,"BNKD","MicroSectors U.S. Big Banks Index -3X Inverse Leveraged ETNs","Financial","Exchange Traded Fund","USA",,,9.09,-4.01%,10648
614,"BNKU","MicroSectors U.S. Big Banks Index 3X Leveraged ETNs","Financial","Exchange Traded Fund","USA",,,49.47,3.62%,151265
615,"BNL","Broadstone Net Lease, Inc.","Real Estate","REIT - Diversified","USA",3457.02,32.68,21.67,2.07%,452990
616,"BNO","United States Brent Oil Fund, LP","Financial","Exchange Traded Fund","USA",,,33.15,1.62%,4102389
617,"BNR","Burning Rock Biotech Limited","Healthcare","Diagnostics & Research","China",962.43,,9.43,-2.18%,410330
618,"BNS","The Bank of Nova Scotia","Financial","Banks - Diversified","Canada",88491.37,11.67,73.80,1.40%,1732672
619,"BNTX","BioNTech SE","Healthcare","Biotechnology","Germany",36951.51,4.91,161.10,-5.46%,1529667
620,"BNY","BlackRock New York Municipal Income Trust","Financial","Closed-End Fund - Debt","USA",295.87,17.03,12.02,-1.31%,41329
621,"BOAC","Bluescape Opportunities Acquisition Corp.","Financial","Shell Companies","USA",749.56,246.50,9.86,0.20%,3306
622,"BOC","Boston Omaha Corporation","Communication Services","Advertising Agencies","USA",817.67,9.09,28.65,-2.82%,54431
623,"BOE","BlackRock Enhanced Global Dividend Trust","Financial","Closed-End Fund - Foreign","USA",712.60,3.34,11.13,0.45%,119037
624,"BOH","Bank of Hawaii Corporation","Financial","Banks - Regional","USA",3480.42,13.81,86.32,2.76%,158259
625,"BOIL","ProShares Ultra Bloomberg Natural Gas","Financial","Exchange Traded Fund","USA",,,55.19,5.26%,1559566
626,"BOKF","BOK Financial Corporation","Financial","Banks - Regional","USA",6855.62,11.08,99.17,2.10%,123293
627,"BOND","PIMCO Active Bond Exchange-Traded Fund","Financial","Exchange Traded Fund","USA",,,100.70,-0.85%,644610
628,"BOOM","DMC Global Inc.","Energy","Oil & Gas Equipment & Services","USA",625.83,,31.93,4.04%,130561
629,"BOOT","Boot Barn Holdings, Inc.","Consumer Cyclical","Apparel Retail","USA",2709.60,16.99,96.53,-2.37%,525172
630,"BOTZ","Global X Robotics & Artificial Intelligence ETF","Financial","Exchange Traded Fund","USA",,,29.00,-1.39%,465625
631,"BOWL","Bowlero Corp.","Communication Services","Entertainment","USA",1872.59,,10.86,0.65%,250962
632,"BOX","Box, Inc.","Technology","Software - Infrastructure","USA",3953.21,,28.31,0.78%,1000834
633,"BOXD","Boxed, Inc.","Consumer Cyclical","Internet Retail","USA",654.53,,9.60,16.50%,319551
634,"BP","BP p.l.c.","Energy","Oil & Gas Integrated","United Kingdom",101715.45,13.87,31.05,1.01%,16915913
635,"BPAC","Bullpen Parlay Acquisition Company","Financial","Shell Companies","USA",247.25,,9.89,-0.20%,1089
636,"BPMC","Blueprint Medicines Corporation","Healthcare","Biotechnology","USA",3684.03,,64.44,-2.50%,384928
637,"BPMP","BP Midstream Partners LP","Energy","Oil & Gas Midstream","USA",1884.62,11.33,17.84,0.73%,437194
638,"BPOP","Popular, Inc.","Financial","Banks - Regional","USA",6687.49,7.38,84.47,2.18%,705180
639,"BPT","BP Prudhoe Bay Royalty Trust","Energy","Oil & Gas Refining & Marketing","USA",296.63,146.34,14.78,2.00%,771604
640,"BR","Broadridge Financial Solutions, Inc.","Technology","Information Technology Services","USA",17687.71,33.44,152.77,0.56%,245761
641,"BRBR","BellRing Brands, Inc.","Consumer Defensive","Packaged Foods","USA",3106.36,31.16,22.22,-2.63%,774047
642,"BRC","Brady Corporation","Industrials","Security & Protection Services","USA",2376.30,18.37,46.75,1.34%,173932
643,"BRCC","BRC Inc.","Consumer Defensive","Packaged Foods","USA",3564.51,,19.95,4.18%,2289629
644,"BRDG","Bridge Investment Group Holdings Inc.","Real Estate","REIT - Diversified","USA",2246.66,3.19,19.77,0.82%,131148
645,"BRFH","Barfresh Food Group, Inc.","Consumer Defensive","Beverages - Non-Alcoholic","USA",110.40,3685.00,7.37,1.38%,30532
646,"BRG","Bluerock Residential Growth REIT, Inc.","Real Estate","REIT - Residential","USA",782.54,137.06,26.59,0.00%,591900
647,"BRK-B","Berkshire Hathaway Inc.","Financial","Insurance - Diversified","USA",871786.82,,358.76,1.81%,4580947
648,"BRKHU","Burtech Acquisition Corp.","Financial","Shell Companies","USA",,,10.01,0.00%,1
649,"BRKL","Brookline Bancorp, Inc.","Financial","Banks - Regional","USA",1289.74,11.02,16.26,1.88%,175508
650,"BRKR","Bruker Corporation","Healthcare","Medical Devices","USA",9676.72,36.06,65.37,-0.68%,344651
651,"BRLT","Brilliant Earth Group, Inc.","Consumer Cyclical","Luxury Goods","USA",918.88,70.85,10.06,-1.95%,91806
652,"BRMK","Broadmark Realty Capital Inc.","Real Estate","REIT - Mortgage","USA",1141.86,13.89,8.64,2.01%,782567
653,"BRO","Brown & Brown, Inc.","Financial","Insurance Brokers","USA",19414.38,34.01,70.37,2.00%,1558140
654,"BROS","Dutch Bros Inc.","Consumer Cyclical","Restaurants","USA",8793.79,,54.92,-4.93%,1437953
655,"BRP","BRP Group, Inc.","Financial","Insurance Brokers","USA",3012.47,,26.83,-2.15%,286731
656,"BRPM","B. Riley Principal 150 Merger Corp.","Financial","Shell Companies","USA",219.73,,9.92,0.00%,29343
657,"BRSP","BrightSpire Capital, Inc.","Real Estate","REIT - Diversified","USA",1204.16,,9.36,2.18%,573721
658,"BRT","BRT Apartments Corp.","Real Estate","REIT - Residential","USA",439.41,14.42,24.17,1.51%,31335
659,"BRX","Brixmor Property Group Inc.","Real Estate","REIT - Retail","USA",7595.00,28.29,25.49,1.63%,2510026
660,"BRY","Berry Corporation","Energy","Oil & Gas E&P","USA",918.62,,11.20,5.07%,425231
661,"BRZE","Braze, Inc.","Technology","Software - Application","USA",3683.87,,39.62,-6.56%,567233
662,"BRZU","Direxion Daily MSCI Brazil Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,117.01,3.03%,108303
663,"BSAC","Banco Santander-Chile","Financial","Banks - Regional","Chile",10528.54,10.91,22.47,0.99%,354795
664,"BSBR","Banco Santander (Brasil) S.A.","Financial","Banks - Regional","Brazil",28566.27,18.67,7.75,4.87%,1145807
665,"BSCM","Invesco BulletShares 2022 Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,21.24,0.00%,353961
666,"BSCN","Invesco BulletShares 2023 Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,21.07,-0.05%,286991
667,"BSCO","Invesco BulletShares 2024 Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,21.00,-0.28%,361731
668,"BSCP","Invesco BulletShares 2025 Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,20.82,-0.38%,163218
669,"BSCQ","Invesco BulletShares 2026 Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,19.82,-0.55%,92995
670,"BSCR","Invesco BulletShares 2027 Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,20.03,-0.64%,69912
671,"BSCS","Invesco BulletShares 2028 Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,20.90,-0.81%,20844
672,"BSCT","Invesco BulletShares 2029 Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,19.25,-0.70%,13770
673,"BSET","Bassett Furniture Industries, Incorporated","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",160.56,9.15,16.76,-4.06%,113294
674,"BSIG","BrightSphere Investment Group Inc.","Financial","Asset Management","USA",1067.02,14.77,24.07,-2.35%,391528
675,"BSJM","Invesco BulletShares 2022 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,22.79,-0.22%,139417
676,"BSJN","Invesco BulletShares 2023 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,24.34,-0.33%,74528
677,"BSJO","Invesco BulletShares 2024 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,23.64,-0.42%,154283
678,"BSJP","Invesco BulletShares 2025 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,23.53,-0.32%,155605
679,"BSJQ","Invesco BulletShares 2026 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,24.22,-0.51%,11467
680,"BSL","Blackstone / GSO Senior Floating Rate Term Fund","Financial","Closed-End Fund - Debt","USA",196.41,4.91,14.52,-0.34%,78478
681,"BSM","Black Stone Minerals, L.P.","Energy","Oil & Gas E&P","USA",2798.68,17.44,13.45,1.89%,1327656
682,"BST","BlackRock Science and Technology Trust","Financial","Closed-End Fund - Equity","USA",1481.51,,43.99,-0.48%,180276
683,"BSTZ","BlackRock Science and Technology Trust II","Financial","Asset Management","USA",2252.12,,28.84,-1.54%,196965
684,"BSV","Vanguard Short-Term Bond Index Fund ETF Shares","Financial","Exchange Traded Fund","USA",,,77.75,-0.36%,12848552
685,"BSX","Boston Scientific Corporation","Healthcare","Medical Devices","USA",62048.40,63.41,43.50,1.47%,6033263
686,"BSY","Bentley Systems, Incorporated","Technology","Software - Application","USA",11385.29,145.31,41.85,-0.31%,866564
687,"BTA","BlackRock Long-Term Municipal Advantage Trust","Financial","Closed-End Fund - Debt","USA",156.70,4.28,11.67,0.09%,34348
688,"BTAI","BioXcel Therapeutics, Inc.","Healthcare","Biotechnology","USA",586.33,,21.96,0.46%,424137
689,"BTAL","AGFiQ U.S. Market Neutral Anti-Beta Fund","Financial","Exchange Traded Fund","USA",,,18.43,1.35%,20673
690,"BTI","British American Tobacco p.l.c.","Consumer Defensive","Tobacco","United Kingdom",98432.87,11.54,43.87,1.62%,3730786
691,"BTNB","Bridgetown 2 Holdings Limited","Financial","Shell Companies","Hong Kong",249.07,,8.33,0.00%,0
692,"BTRS","BTRS Holdings Inc.","Technology","Software - Application","USA",1073.52,,7.10,-1.80%,647499
693,"BTT","Blackrock Municipal 2030 Target Term Trust","Financial","Closed-End Fund - Debt","USA",1660.41,13.40,23.55,-1.57%,152415
694,"BTU","Peabody Energy Corporation","Energy","Thermal Coal","USA",3473.41,11.96,25.95,2.77%,7841512
695,"BTWN","Bridgetown Holdings Limited","Financial","Shell Companies","Hong Kong",731.07,,9.85,0.10%,87952
696,"BTZ","BlackRock Credit Allocation Income Trust","Financial","Closed-End Fund - Debt","USA",1133.90,5.67,12.13,-0.82%,339967
697,"BUD","Anheuser-Busch InBev SA/NV","Consumer Defensive","Beverages - Brewers","Belgium",101555.00,26.41,59.51,0.64%,1085573
698,"BUG","Global X Cybersecurity ETF","Financial","Exchange Traded Fund","USA",,,31.37,-0.44%,817321
699,"BUI","BlackRock Utilities, Infrastructure & Power Opportunities Trust","Financial","Closed-End Fund - Equity","USA",494.78,,24.35,-0.41%,49136
700,"BULZ","MicroSectors FANG & Innovation","Financial","Exchange Traded Fund","USA",,,14.79,-1.20%,2618118
701,"BUR","Burford Capital Limited","Financial","Asset Management","United Kingdom",,,9.91,0.71%,873382
702,"BURL","Burlington Stores, Inc.","Consumer Cyclical","Apparel Retail","USA",12273.38,30.45,182.83,-0.47%,527418
703,"BUSE","First Busey Corporation","Financial","Banks - Regional","USA",1487.11,11.96,26.40,1.77%,94353
704,"BV","BrightView Holdings, Inc.","Industrials","Specialty Business Services","USA",1399.39,40.81,13.63,0.59%,108171
705,"BVH","Bluegreen Vacations Holding Corporation","Consumer Cyclical","Resorts & Casinos","USA",642.41,11.21,30.62,-1.73%,35177
706,"BVN","Compania de Minas Buenaventura S.A.A.","Basic Materials","Other Precious Metals & Mining","Peru",2619.81,21.95,10.67,0.09%,863839
707,"BVS","Bioventus Inc.","Healthcare","Medical Devices","USA",993.93,27.96,13.03,-0.08%,69878
708,"BW","Babcock & Wilcox Enterprises, Inc.","Industrials","Specialty Industrial Machinery","USA",751.80,42.68,8.45,-0.94%,651503
709,"BWA","BorgWarner Inc.","Consumer Cyclical","Auto Parts","USA",9195.61,17.22,38.59,0.18%,1005666
710,"BWAC","Better World Acquisition Corp.","Financial","Shell Companies","USA",165.45,,10.27,0.20%,174064
711,"BWG","Legg Mason BW Global Income Opportunities Fund Inc.","Financial","Closed-End Fund - Debt","USA",167.08,,9.95,-0.40%,25936
712,"BWMX","Betterware de Mexico, S.A.B. de C.V.","Consumer Cyclical","Specialty Retail","Mexico",712.74,8.26,19.92,-0.30%,26229
713,"BWX","SPDR Bloomberg Barclays International Treasury Bond ETF","Financial","Exchange Traded Fund","USA",,,25.88,-0.46%,142838
714,"BWXT","BWX Technologies, Inc.","Industrials","Aerospace & Defense","USA",5007.66,17.04,55.37,1.08%,417668
715,"BX","Blackstone Inc.","Financial","Asset Management","USA",146443.02,15.21,123.80,-1.51%,2681515
716,"BXC","BlueLinx Holdings Inc.","Industrials","Building Products & Equipment","USA",768.45,2.68,79.55,-0.15%,183371
717,"BXMT","Blackstone Mortgage Trust, Inc.","Real Estate","REIT - Mortgage","USA",5436.22,11.63,32.11,1.81%,3064507
718,"BXMX","Nuveen S&P 500 Buy-Write Income Fund","Financial","Closed-End Fund - Equity","USA",1432.24,4.10,13.76,0.07%,266168
719,"BXP","Boston Properties, Inc.","Real Estate","REIT - Office","USA",20365.08,40.91,129.78,2.90%,765586
720,"BXSL","Blackstone Secured Lending Fund","Financial","Asset Management","USA",4801.37,10.31,28.60,0.63%,103655
721,"BY","Byline Bancorp, Inc.","Financial","Banks - Regional","USA",1024.75,11.26,26.96,1.47%,58108
722,"BYD","Boyd Gaming Corporation","Consumer Cyclical","Resorts & Casinos","USA",7508.98,16.98,69.01,0.01%,1055316
723,"BYM","BlackRock Municipal Income Quality Trust","Financial","Closed-End Fund - Debt","USA",348.89,12.39,13.21,0.76%,88312
724,"BYND","Beyond Meat, Inc.","Consumer Defensive","Packaged Foods","USA",2871.60,,48.63,-3.86%,1745231
725,"BYRN","Byrna Technologies Inc.","Industrials","Aerospace & Defense","USA",211.28,,8.96,-1.97%,112957
726,"BZ","Kanzhun Limited","Industrials","Staffing & Employment Services","China",10092.76,,26.20,-6.33%,3847057
727,"BZH","Beazer Homes USA, Inc.","Consumer Cyclical","Residential Construction","USA",491.79,3.36,15.90,-1.79%,332499
728,"BZQ","ProShares UltraShort MSCI Brazil Capped","Financial","Exchange Traded Fund","USA",,,9.54,-2.85%,241037
729,"BZUN","Baozun Inc.","Consumer Cyclical","Internet Retail","China",529.42,,8.12,0.00%,2394497
730,"C","Citigroup Inc.","Financial","Banks - Diversified","USA",111801.07,5.63,56.74,0.57%,21190306
731,"CAAP","Corporacion America Airports S.A.","Industrials","Airports & Air Services","Luxembourg",930.07,,5.77,1.23%,53923
732,"CACC","Credit Acceptance Corporation","Financial","Credit Services","USA",7360.55,8.85,527.26,0.06%,35028
733,"CACI","CACI International Inc","Technology","Information Technology Services","USA",7297.18,17.16,308.81,1.08%,152364
734,"CADE","Cadence Bank","Financial","Banks - Regional","USA",5488.49,15.97,30.14,1.41%,1078368
735,"CAE","CAE Inc.","Industrials","Aerospace & Defense","Canada",7596.75,91.58,25.46,-0.20%,177118
736,"CAG","Conagra Brands, Inc.","Consumer Defensive","Packaged Foods","USA",15936.19,14.44,32.89,1.89%,5250370
737,"CAH","Cardinal Health, Inc.","Healthcare","Medical Distribution","USA",16030.58,30.33,57.96,1.20%,1725098
738,"CAJ","Canon Inc.","Technology","Computer Hardware","Japan",31501.27,13.86,23.99,-0.29%,147753
739,"CAKE","The Cheesecake Factory Incorporated","Consumer Cyclical","Restaurants","USA",1985.27,38.59,37.55,-2.09%,609983
740,"CAL","Caleres, Inc.","Consumer Cyclical","Footwear & Accessories","USA",783.54,5.67,20.21,2.43%,689734
741,"CALF","Pacer US Small Cap Cash Cows 100 ETF","Financial","Exchange Traded Fund","USA",,,41.13,0.02%,165326
742,"CALM","Cal-Maine Foods, Inc.","Consumer Defensive","Farm Products","USA",2351.63,,50.27,0.54%,545900
743,"CALX","Calix, Inc.","Technology","Software - Application","USA",2672.50,12.13,42.61,-0.91%,419421
744,"CAMP","CalAmp Corp.","Technology","Communication Equipment","USA",252.64,52.25,7.21,-1.23%,161798
745,"CAMT","Camtek Ltd.","Technology","Semiconductor Equipment & Materials","Israel",1336.04,23.56,31.57,-2.41%,129812
746,"CAN","Canaan Inc.","Technology","Computer Hardware","China",950.70,3.23,5.83,-9.61%,8581873
747,"CANE","Teucrium Sugar","Financial","Exchange Traded Fund","USA",,,9.74,1.46%,63521
748,"CANO","Cano Health, Inc.","Healthcare","Medical Care Facilities","USA",3104.01,,6.50,-3.13%,1930323
749,"CAPL","CrossAmerica Partners LP","Energy","Oil & Gas Refining & Marketing","USA",837.84,38.76,22.13,0.45%,33000
750,"CAPR","Capricor Therapeutics, Inc.","Healthcare","Biotechnology","USA",134.22,,5.68,6.57%,366227
751,"CAR","Avis Budget Group, Inc.","Industrials","Rental & Leasing Services","USA",14875.81,13.03,262.87,-2.28%,1139654
752,"CARA","Cara Therapeutics, Inc.","Healthcare","Biotechnology","USA",655.50,,12.34,0.16%,328883
753,"CARE","Carter Bankshares, Inc.","Financial","Banks - Regional","USA",456.19,15.82,17.24,2.68%,156682
754,"CARG","CarGurus, Inc.","Communication Services","Internet Content & Information","USA",4858.77,,41.39,-3.34%,928720
755,"CARR","Carrier Global Corporation","Industrials","Building Products & Equipment","USA",39024.20,24.82,46.39,0.48%,3623972
756,"CARS","Cars.com Inc.","Consumer Cyclical","Auto & Truck Dealerships","USA",1021.92,137.59,14.86,-1.00%,261202
757,"CARV","Carver Bancorp, Inc.","Financial","Banks - Regional","USA",25.89,,6.85,-0.44%,145933
758,"CAS","Cascade Acquisition Corp.","Financial","Shell Companies","USA",289.02,60.97,10.06,0.20%,50090
759,"CASH","Meta Financial Group, Inc.","Financial","Banks - Regional","USA",1638.24,9.97,55.29,3.23%,147306
760,"CASS","Cass Information Systems, Inc.","Industrials","Specialty Business Services","USA",525.42,18.78,37.53,1.24%,78019
761,"CASY","Casey's General Stores, Inc.","Consumer Defensive","Grocery Stores","USA",7242.37,22.87,196.75,1.83%,233942
762,"CAT","Caterpillar Inc.","Industrials","Farm & Heavy Construction Machinery","USA",120123.01,18.97,223.36,0.52%,1581073
763,"CATO","The Cato Corporation","Consumer Cyclical","Apparel Retail","USA",326.29,7.50,14.94,2.82%,122129
764,"CATY","Cathay General Bancorp","Financial","Banks - Regional","USA",3527.05,12.34,46.84,2.47%,168516
765,"CB","Chubb Limited","Financial","Insurance - Property & Casualty","Switzerland",92643.61,11.31,217.78,2.15%,1312238
766,"CBD","Companhia Brasileira de Distribuicao","Consumer Cyclical","Department Stores","Brazil",1409.17,8.71,5.18,3.19%,1210419
767,"CBL","CBL & Associates Properties, Inc.","Real Estate","REIT - Retail","USA",633.65,,31.40,4.91%,132426
768,"CBOE","Cboe Global Markets, Inc.","Financial","Financial Data & Stock Exchanges","USA",12318.56,23.31,114.73,0.91%,634247
769,"CBON","VanEck Vectors ChinaAMC China Bond ETF","Financial","Exchange Traded Fund","USA",,,24.46,0.08%,16745
770,"CBRE","CBRE Group, Inc.","Real Estate","Real Estate Services","USA",29975.92,16.69,90.24,0.20%,1828602
771,"CBRL","Cracker Barrel Old Country Store, Inc.","Consumer Cyclical","Restaurants","USA",2699.26,19.78,117.82,-1.69%,294049
772,"CBSH","Commerce Bancshares, Inc.","Financial","Banks - Regional","USA",8945.75,16.90,72.86,1.85%,240725
773,"CBT","Cabot Corporation","Basic Materials","Specialty Chemicals","USA",3977.69,41.64,70.24,1.34%,270097
774,"CBTX","CBTX, Inc.","Financial","Banks - Regional","USA",786.80,22.00,31.88,2.74%,46109
775,"CBU","Community Bank System, Inc.","Financial","Banks - Regional","USA",3837.58,20.43,71.04,1.51%,142156
776,"CBZ","CBIZ, Inc.","Industrials","Specialty Business Services","USA",2101.43,31.03,40.49,1.05%,99335
777,"CC","The Chemours Company","Basic Materials","Specialty Chemicals","USA",4946.71,8.85,32.03,0.03%,1105603
778,"CCAP","Crescent Capital BDC, Inc.","Financial","Asset Management","USA",592.37,4.78,17.86,-0.28%,56522
779,"CCB","Coastal Financial Corporation","Financial","Banks - Regional","USA",631.94,22.24,48.02,0.73%,16143
780,"CCCC","C4 Therapeutics, Inc.","Healthcare","Biotechnology","USA",1197.78,,24.84,-1.23%,422007
781,"CCCS","CCC Intelligent Solutions Holdings Inc.","Technology","Software - Infrastructure","USA",6329.51,,10.74,0.09%,695749
782,"CCD","Calamos Dynamic Convertible and Income Fund","Financial","Closed-End Fund - Equity","USA",662.45,,26.66,1.29%,56771
783,"CCEP","Coca-Cola Europacific Partners PLC","Consumer Defensive","Beverages - Non-Alcoholic","United Kingdom",21907.96,20.34,48.47,-0.16%,989590
784,"CCI","Crown Castle International Corp.","Real Estate","REIT - Specialty","USA",77648.63,66.53,177.58,1.29%,1422509
785,"CCJ","Cameco Corporation","Energy","Uranium","Canada",11342.08,,28.76,-0.83%,5624887
786,"CCK","Crown Holdings, Inc.","Consumer Cyclical","Packaging & Containers","USA",15989.61,,129.67,0.93%,929231
787,"CCL","Carnival Corporation & plc","Consumer Cyclical","Travel Services","USA",20279.94,,18.39,-0.54%,25905627
788,"CCMP","CMC Materials, Inc.","Technology","Semiconductor Equipment & Materials","USA",5360.45,,188.02,0.29%,340395
789,"CCOI","Cogent Communications Holdings, Inc.","Communication Services","Telecom Services","USA",2917.54,59.73,61.76,-0.34%,282919
790,"CCOR","Core Alternative ETF","Financial","Exchange Traded Fund","USA",,,30.22,0.17%,61630
791,"CCRN","Cross Country Healthcare, Inc.","Industrials","Staffing & Employment Services","USA",804.80,6.10,21.45,-1.42%,353925
792,"CCS","Century Communities, Inc.","Consumer Cyclical","Residential Construction","USA",1852.02,3.85,56.02,-0.55%,536456
793,"CCSI","Consensus Cloud Solutions, Inc.","Technology","Software - Infrastructure","USA",1179.38,11.11,58.53,1.11%,52200
794,"CCU","Compania Cervecerias Unidas S.A.","Consumer Defensive","Beverages - Brewers","Chile",2791.87,11.16,15.07,1.89%,135162
795,"CCV","Churchill Capital Corp V","Financial","Shell Companies","USA",612.54,,9.81,-0.10%,19651
796,"CCVI","Churchill Capital Corp VI","Financial","Shell Companies","USA",673.45,,9.78,0.10%,20376
797,"CCXI","ChemoCentryx, Inc.","Healthcare","Biotechnology","USA",1676.72,,23.96,-2.00%,630197
798,"CD","Chindata Group Holdings Limited","Technology","Information Technology Services","China",2167.16,48.56,6.75,-3.57%,2290213
799,"CDAK","Codiak BioSciences, Inc.","Healthcare","Biotechnology","USA",115.40,,5.71,-6.55%,75109
800,"CDAY","Ceridian HCM Holding Inc.","Technology","Software - Application","USA",9584.06,,67.37,-2.94%,703559
801,"CDC","VictoryShares US EQ Income Enhanced Volatility Wtd ETF","Financial","Exchange Traded Fund","USA",,,72.01,1.34%,212752
802,"CDEV","Centennial Resource Development, Inc.","Energy","Oil & Gas E&P","USA",2452.71,28.45,8.65,5.10%,14964617
803,"CDK","CDK Global, Inc.","Technology","Software - Application","USA",5739.23,27.70,48.31,2.59%,754792
804,"CDLX","Cardlytics, Inc.","Communication Services","Internet Content & Information","USA",1927.54,,57.78,-7.05%,261391
805,"CDMO","Avid Bioservices, Inc.","Healthcare","Biotechnology","USA",1307.57,141.91,21.57,-1.60%,639511
806,"CDNA","CareDx, Inc","Healthcare","Diagnostics & Research","USA",1871.50,,37.90,-1.92%,711597
807,"CDNS","Cadence Design Systems, Inc.","Technology","Software - Application","USA",42513.53,63.64,158.84,-2.02%,1274854
808,"CDR","Cedar Realty Trust, Inc.","Real Estate","REIT - Retail","USA",387.53,,27.74,0.76%,103547
809,"CDW","CDW Corporation","Technology","Information Technology Services","USA",23375.10,25.04,176.15,0.18%,677379
810,"CDXS","Codexis, Inc.","Healthcare","Biotechnology","USA",1200.40,,19.56,-4.40%,281093
811,"CE","Celanese Corporation","Basic Materials","Chemicals","USA",15537.94,8.43,144.11,0.17%,539007
812,"CECE","CECO Environmental Corp.","Industrials","Pollution & Treatment Controls","USA",187.24,143.50,5.74,3.42%,109149
813,"CEE","The Central and Eastern Europe Fund, Inc.","Financial","Closed-End Fund - Foreign","USA",65.05,0.72,10.33,2.79%,128875
814,"CEF","Sprott Physical Gold and Silver Trust","Financial","Asset Management","Canada",4362.04,,19.78,0.46%,1159701
815,"CEG","Constellation Energy Corporation","Utilities","Utilities - Renewable","USA",18284.47,,53.80,2.65%,2427903
816,"CEIX","CONSOL Energy Inc.","Energy","Thermal Coal","USA",1371.25,65.00,40.69,9.47%,1164414
817,"CELH","Celsius Holdings, Inc.","Consumer Defensive","Beverages - Non-Alcoholic","USA",3897.44,1090.78,55.63,-1.90%,744302
818,"CELU","Celularity Inc.","Healthcare","Biotechnology","USA",925.59,25.03,7.36,-1.21%,104134
819,"CEM","ClearBridge MLP and Midstream Fund Inc","Financial","Closed-End Fund - Equity","USA",473.33,,33.61,2.28%,44261
820,"CEMB","iShares J.P. Morgan EM Corporate Bond ETF","Financial","Exchange Traded Fund","USA",,,46.00,-0.56%,17129
821,"CENQ","CENAQ Energy Corp.","Financial","Shell Companies","USA",217.28,,9.99,0.05%,254667
822,"CENTA","Central Garden & Pet Company","Consumer Defensive","Packaged Foods","USA",1751.79,15.11,41.55,0.24%,120695
823,"CENX","Century Aluminum Company","Basic Materials","Aluminum","USA",2563.35,,28.34,-1.67%,1565804
824,"CEQP","Crestwood Equity Partners LP","Energy","Oil & Gas Midstream","USA",3014.90,,30.78,0.69%,453991
825,"CERE","Cerevel Therapeutics Holdings, Inc.","Healthcare","Biotechnology","USA",4765.00,,33.38,-2.00%,313489
826,"CERN","Cerner Corporation","Healthcare","Health Information Services","USA",27503.68,50.66,93.62,-0.03%,2461660
827,"CERS","Cerus Corporation","Healthcare","Biotechnology","USA",914.87,,5.40,-2.17%,1222836
828,"CERT","Certara, Inc.","Healthcare","Biotechnology","USA",3309.72,,21.40,-2.37%,453222
829,"CEVA","CEVA, Inc.","Technology","Semiconductors","USA",907.73,20145.00,40.29,-0.37%,303759
830,"CF","CF Industries Holdings, Inc.","Basic Materials","Agricultural Inputs","USA",21979.57,25.81,109.52,2.93%,3601784
831,"CFB","CrossFirst Bankshares, Inc.","Financial","Banks - Regional","USA",827.75,12.16,16.24,1.18%,101115
832,"CFFE","CF Acquisition Corp. VIII","Financial","Shell Companies","USA",319.79,,10.05,0.00%,101
833,"CFFN","Capitol Federal Financial, Inc.","Financial","Banks - Regional","USA",1548.23,19.08,11.16,2.95%,541518
