"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
54,"ACLS","Axcelis Technologies, Inc.","Technology","Semiconductor Equipment & Materials","USA",2443.23,27.22,78.51,-4.87%,674810
55,"ACLX","Arcellx, Inc.","Healthcare","Biotechnology","USA",621.95,,16.26,2.98%,140763
56,"ACM","AECOM","Industrials","Engineering & Construction","USA",11163.06,35.50,79.56,1.56%,487494
57,"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials","USA",409.12,12.67,21.75,-0.28%,683850
58,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",212778.82,34.09,327.71,0.74%,1813959
59,"ACP","Aberdeen Income Credit Strategies Fund","Financial","Closed-End Fund - Debt","USA",167.57,2.17,9.61,-0.31%,90441
60,"ACQR","Independence Holdings Corp.","Financial","Shell Companies","USA",434.37,,9.77,0.00%,201326
61,"ACRE","Ares Commercial Real Estate Corporation","Real Estate","REIT - Mortgage","USA",731.54,10.62,15.43,1.25%,405327
62,"ACRO","Acropolis Infrastructure Acquisition Corp.","Financial","Shell Companies","USA",416.43,,9.68,-0.21%,42864
63,"ACRS","Aclaris Therapeutics, Inc.","Healthcare","Biotechnology","USA",1036.85,,17.92,1.59%,287639
64,"ACT","Enact Holdings, Inc.","Financial","Insurance - Specialty","USA",3712.26,6.81,22.87,1.87%,71602
65,"ACV","AllianzGI Diversified Income & Convertible Fund","Financial","Asset Management","USA",260.30,,25.14,-0.75%,15733
66,"ACVA","ACV Auctions Inc.","Technology","Software - Application","USA",2139.24,,14.14,-4.14%,730888
67,"ACWI","iShares MSCI ACWI ETF","Financial","Exchange Traded Fund","USA",,,99.98,0.19%,3841953
68,"ACWV","iShares MSCI Global Min Vol Factor ETF","Financial","Exchange Traded Fund","USA",,,104.07,0.14%,2558230
69,"ACWX","iShares MSCI ACWI ex U.S. ETF","Financial","Exchange Traded Fund","USA",,,52.35,-0.08%,1938803
70,"ADBE","Adobe Inc.","Technology","Software - Infrastructure","USA",199568.14,43.10,431.62,-0.12%,3283310
71,"ADC","Agree Realty Corporation","Real Estate","REIT - Retail","USA",4685.50,36.74,65.44,1.30%,2958661
72,"ADCT","ADC Therapeutics SA","Healthcare","Biotechnology","Switzerland",1048.30,,13.31,-1.63%,162082
73,"ADER","26 Capital Acquisition Corp.","Financial","Shell Companies","USA",338.54,,9.85,0.00%,2095
74,"ADES","Advanced Emissions Solutions, Inc.","Industrials","Pollution & Treatment Controls","USA",114.27,1.88,6.17,-1.44%,113479
75,"ADEX","Adit EdTech Acquisition Corp.","Financial","Shell Companies","USA",340.17,,9.88,-0.10%,6740
76,"ADI","Analog Devices, Inc.","Technology","Semiconductors","USA",84837.34,52.20,165.63,0.41%,2236298
77,"ADM","Archer-Daniels-Midland Company","Consumer Defensive","Farm Products","USA",52432.00,19.55,93.49,3.38%,4798214
78,"ADNT","Adient plc","Consumer Cyclical","Auto Parts","Ireland",3550.19,4.00,37.60,1.16%,1097726
79,"ADOC","Edoc Acquisition Corp.","Financial","Shell Companies","USA",55.52,,10.15,0.00%,174
80,"ADP","Automatic Data Processing, Inc.","Industrials","Staffing & Employment Services","USA",91677.00,33.92,219.04,0.96%,1249810
81,"ADPT","Adaptive Biotechnologies Corporation","Healthcare","Biotechnology","USA",1748.95,,12.74,-3.56%,731819
82,"ADS","Alliance Data Systems Corporation","Financial","Credit Services","USA",2959.33,3.78,59.70,1.81%,543011
83,"ADSE","ADS-TEC Energy PLC","Industrials","Electrical Equipment & Parts","Ireland",410.35,,8.31,0.97%,23754
84,"ADSK","Autodesk, Inc.","Technology","Software - Application","USA",45743.75,94.79,212.14,-0.43%,1465988
85,"ADT","ADT Inc.","Industrials","Security & Protection Services","USA",6854.81,,7.36,-1.47%,1443188
86,"ADTH","AdTheorent Holding Company, Inc.","Communication Services","Advertising Agencies","USA",648.35,20.64,7.76,-2.63%,123480
87,"ADTN","ADTRAN, Inc.","Technology","Communication Equipment","USA",941.13,,18.94,-0.42%,459031
88,"ADUS","Addus HomeCare Corporation","Healthcare","Medical Care Facilities","USA",1299.59,29.00,81.53,0.11%,41795
89,"ADV","Advantage Solutions Inc.","Communication Services","Advertising Agencies","USA",2019.59,37.16,6.28,0.32%,193432
90,"ADX","Adams Diversified Equity Fund, Inc.","Financial","Closed-End Fund - Equity","USA",2047.34,2.83,18.44,0.66%,120194
91,"AEE","Ameren Corporation","Utilities","Utilities - Regulated Electric","USA",23598.26,23.63,90.78,1.37%,1675456
92,"AEG","Aegon N.V.","Financial","Insurance - Diversified","Netherlands",10809.05,6.01,5.23,2.15%,2313947
93,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",280.58,234.67,10.56,-4.17%,500381
94,"AEIS","Advanced Energy Industries, Inc.","Industrials","Electrical Equipment & Parts","USA",3361.59,25.57,89.81,-0.45%,127432
95,"AEL","American Equity Investment Life Holding Company","Financial","Insurance - Life","USA",3961.90,8.97,40.71,1.67%,327592
96,"AEM","Agnico Eagle Mines Limited","Basic Materials","Gold","Canada",28443.10,23.50,62.05,-0.23%,2272290
97,"AEO","American Eagle Outfitters, Inc.","Consumer Cyclical","Apparel Retail","USA",2893.21,8.59,17.45,-0.63%,4247306
98,"AEP","American Electric Power Company, Inc.","Utilities","Utilities - Regulated Electric","USA",49311.89,19.53,96.84,0.41%,2031933
99,"AER","AerCap Holdings N.V.","Industrials","Airports & Air Services","Ireland",13326.23,7.47,54.24,-0.51%,1086865
100,"AERI","Aerie Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",455.03,,9.62,1.58%,540045
101,"AES","The AES Corporation","Utilities","Utilities - Diversified","USA",16072.26,,24.37,0.54%,5146750
102,"AEYE","AudioEye, Inc.","Technology","Software - Application","USA",69.33,,6.51,-13.08%,44564
103,"AFB","AllianceBernstein National Municipal Income Fund, Inc.","Financial","Closed-End Fund - Debt","USA",368.80,13.35,12.83,1.02%,119638
104,"AFCG","AFC Gamma, Inc.","Real Estate","REIT - Specialty","USA",406.02,14.28,20.13,1.21%,125432
105,"AFG","American Financial Group, Inc.","Financial","Insurance - Property & Casualty","USA",12793.76,11.82,149.39,1.58%,224989
106,"AFL","Aflac Incorporated","Financial","Insurance - Life","USA",42551.90,10.27,65.53,1.61%,1921016
107,"AFRM","Affirm Holdings, Inc.","Technology","Software - Infrastructure","USA",10826.27,,42.16,-5.89%,12496773
108,"AFT","Apollo Senior Floating Rate Fund Inc.","Financial","Asset Management","USA",222.54,4.79,14.29,-0.97%,102948
109,"AFYA","Afya Limited","Consumer Defensive","Education & Training Services","Brazil",1407.64,31.37,15.53,-2.27%,138267
110,"AG","First Majestic Silver Corp.","Basic Materials","Silver","Canada",3559.21,99.07,13.87,-0.36%,4280537
111,"AGCB","Altimeter Growth Corp. 2","Financial","Shell Companies","USA",562.03,,9.80,0.10%,21386
112,"AGCO","AGCO Corporation","Industrials","Farm & Heavy Construction Machinery","USA",10954.22,12.49,147.99,3.49%,1587625
113,"AGG","iShares Core U.S. Aggregate Bond ETF","Financial","Exchange Traded Fund","USA",,,106.10,-0.79%,10538682
114,"AGGY","WisdomTree Yield Enhanced U.S. Aggregate Bond Fund","Financial","Exchange Traded Fund","USA",,,47.41,-0.86%,136765
115,"AGI","Alamos Gold Inc.","Basic Materials","Gold","Canada",4119.06,,8.35,-0.12%,1717093
116,"AGIO","Agios Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1566.18,,28.79,-3.26%,282423
117,"AGL","agilon health, inc.","Healthcare","Medical Care Facilities","USA",8827.38,,23.59,-1.71%,663050
118,"AGNC","AGNC Investment Corp.","Real Estate","REIT - Mortgage","USA",6847.45,11.05,13.27,1.69%,6662181
119,"AGO","Assured Guaranty Ltd.","Financial","Insurance - Specialty","Bermuda",4316.18,11.95,64.72,2.32%,333980
120,"AGOX","Adaptive Growth Opportunities ETF","Financial","Exchange Traded Fund","USA",,,24.03,-0.12%,54892
121,"AGQ","ProShares Ultra Silver","Financial","Exchange Traded Fund","USA",,,40.65,-1.67%,518308
122,"AGR","Avangrid, Inc.","Utilities","Utilities - Regulated Electric","USA",17812.76,22.11,45.75,1.87%,592786
123,"AGRO","Adecoagro S.A.","Consumer Defensive","Farm Products","Luxembourg",1388.62,10.72,12.28,-1.52%,2368393
124,"AGS","PlayAGS, Inc.","Consumer Cyclical","Gambling","USA",251.04,,7.03,-3.57%,196853
125,"AGTI","Agiliti, Inc.","Healthcare","Health Information Services","USA",2519.95,112.50,19.80,0.76%,83895
126,"AGX","Argan, Inc.","Industrials","Engineering & Construction","USA",632.15,14.03,40.06,0.45%,116461
127,"AGYS","Agilysys, Inc.","Technology","Software - Application","USA",1011.51,,41.32,-1.53%,39018
128,"AGZD","WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund","Financial","Exchange Traded Fund","USA",,,46.45,0.42%,64341
129,"AHCO","AdaptHealth Corp.","Healthcare","Medical Devices","USA",2132.80,15.52,16.00,-3.56%,687971
130,"AHH","Armada Hoffler Properties, Inc.","Real Estate","REIT - Diversified","USA",1303.09,85.56,14.63,1.32%,621711
131,"AHT","Ashford Hospitality Trust, Inc.","Real Estate","REIT - Hotel & Motel","USA",318.28,,9.40,3.52%,895231
